央视频,#genre#
CCTV1,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv1.m3u8
CCTV2,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV3,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV4,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv4.m3u8
CCTV5,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV6,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv6.m3u8
CCTV7,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV8,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv8.m3u8
CCTV9,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV10,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV11,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV13,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV14,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV15,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV17,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv17.m3u8
CCTV4K,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv4k.m3u8
CCTV8K,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv8k.m3u8
湖北电信,#genre#
湖北公共新闻,http://27.19.5.115:999/rtp/239.69.1.40:9880
湖北经视,http://27.19.5.115:999/rtp/239.69.1.41:9886
湖北综合,http://27.19.5.115:999/rtp/239.69.1.42:9892
湖北垄上,http://27.19.5.115:999/rtp/239.69.1.43:9898
湖北影视,http://27.19.5.115:999/rtp/239.69.1.204:10866
湖北生活,http://27.19.5.115:999/rtp/239.69.1.205:10872
湖北教育,http://27.19.5.115:999/rtp/239.69.1.206:10878
CCTV1,http://27.19.5.115:999/rtp/239.254.96.96:8550
CCTV2,http://27.19.5.115:999/rtp/239.69.1.102:10250
CCTV3,http://27.19.5.115:999/rtp/239.69.1.122:10370
CCTV4,http://27.19.5.115:999/rtp/239.69.1.138:10466
CCTV5,http://27.19.5.115:999/rtp/239.69.1.123:10376
CCTV5+,http://27.19.5.115:999/rtp/239.254.96.234:9484
CCTV6,http://27.19.5.115:999/rtp/239.69.1.124:10382
CCTV7,http://27.19.5.115:999/rtp/239.69.1.103:10256
CCTV8,http://27.19.5.115:999/rtp/239.69.1.125:10388
CCTV9,http://27.19.5.115:999/rtp/239.69.1.104:10262
CCTV10,http://27.19.5.115:999/rtp/239.69.1.105:10268
CCTV11,http://27.19.5.115:999/rtp/239.69.1.154:10560
CCTV12,http://27.19.5.115:999/rtp/239.69.1.106:10274
CCTV13,http://27.19.5.115:999/rtp/239.254.96.161:9040
